-0.42539,0.0086797,0.40961
-0.42539,0.010416,0.40961
-0.42539,0.0052078,0.43302
-0.42539,0.0026039,0.42131
-0.37813,0.0060758,0.40961
-0.37813,0.0043398,0.42131
-0.37813,0.0086797,0.42131
-0.37813,0.0069437,0.42131
-0.33086,0.0060758,0.40961
-0.33086,0.0026039,0.42131
-0.33086,0.0034719,0.42131
-0.33086,0.0069437,0.42131
-0.28359,0.0052078,0.40961
-0.28359,0.0052078,0.39791
-0.28359,0.0052078,0.40961
-0.23633,0.0026039,0.40961
-0.23633,0.00086797,0.42131
-0.23633,0.0060758,0.42131
-0.18906,0.0069437,0.40961
-0.18906,0.0086797,0.39791
-0.18906,0.0052078,0.40961
-0.18906,0.0043398,0.40961
-0.1418,0.0043398,0.42131
-0.1418,0.0017359,0.42131
-0.1418,0.0078117,0.40961
-0.094531,0.010416,0.39791
-0.094531,0.0052078,0.39791
-0.094531,0.0034719,0.39791
-0.094531,0.0052078,0.40961
-0.047266,0.0069437,0.39791
-0.047266,0.0026039,0.40961
-0.047266,0.0034719,0.42131
-0.047266,0.010416,0.39791
0,0.0069437,0.39791
0,0.0034719,0.39791
0,0.0078117,0.39791
0.047266,0.0060758,0.40961
0.047266,0.00086797,0.42131
0.047266,0,0.3862
0.094531,0.0078117,0.39791
0.094531,0.0034719,0.39791
0.094531,0.0069437,0.39791
0.094531,0.0069437,0.39791
0.1418,0.0043398,0.39791
0.1418,0.0043398,0.39791
0.1418,0.0043398,0.3862
0.1418,0.0034719,0.39791
0.18906,0.0034719,0.40961
0.18906,0.0069437,0.3862
0.18906,0.0052078,0.39791
0.23633,0.0086797,0.3862
0.23633,0.0060758,0.39791
0.23633,0.0017359,0.3862
0.28359,0.0060758,0.3745
0.28359,0.0078117,0.3862
0.28359,0.0078117,0.3862
0.28359,0.0060758,0.3862
0.33086,0.0043398,0.39791
0.33086,0,0.3745
0.33086,0.0069437,0.3862
0.37813,0.0069437,0.3745
0.37813,0.0060758,0.3745
0.37813,0,0.39791
0.37813,0.0043398,0.3745
