1.1911,-0.3353,0.28461,-1.4074,0.93698,-0.91527,0.00031322,0.12267,0.2612,-0.22211,0.044506,-8.9713e-05
1.1911,-0.33482,0.28566,-1.4083,0.93717,-0.91527,0.00075626,0.11849,0.2593,-0.22505,0.055384,-8.3004e-05
1.1911,-0.33435,0.28669,-1.4092,0.93738,-0.91527,0.00083767,0.11029,0.25808,-0.2282,0.069108,-4.3222e-05
1.1911,-0.33393,0.28772,-1.4101,0.93768,-0.91527,0.00017249,0.098676,0.2574,-0.23131,0.083234,4.1229e-06
1.1911,-0.33355,0.28875,-1.411,0.93804,-0.91527,-0.0013888,0.086499,0.25703,-0.23407,0.094666,3.7139e-05
1.1911,-0.33324,0.28978,-1.412,0.93848,-0.91527,-0.0036153,0.077995,0.25658,-0.23613,0.10051,4.57e-05
1.191,-0.33294,0.29081,-1.4129,0.9389,-0.91527,-0.0059349,0.07701,0.2556,-0.23725,0.099042,3.2689e-05
1.191,-0.33262,0.29182,-1.4139,0.93927,-0.91527,-0.0076537,0.085041,0.25377,-0.23728,0.09037,9.4193e-06
1.191,-0.33228,0.29281,-1.4149,0.93958,-0.91527,-0.0082502,0.10012,0.25112,-0.23623,0.076579,-1.1396e-05
1.1909,-0.33182,0.29383,-1.4158,0.93986,-0.91527,-0.0075914,0.11721,0.24815,-0.23422,0.061187,-2.1504e-05
1.1909,-0.33132,0.29482,-1.4167,0.94007,-0.91527,-0.0059601,0.13,0.24572,-0.23145,0.04813,-1.9509e-05
1.1909,-0.33077,0.2958,-1.4176,0.94026,-0.91527,-0.0038865,0.13345,0.24479,-0.22815,0.040567,-9.633e-06
1.1909,-0.33025,0.29678,-1.4186,0.94042,-0.91527,-0.0018853,0.1259,0.24595,-0.22457,0.039946,1.6908e-06
1.1909,-0.32978,0.29777,-1.4194,0.94059,-0.91527,-0.00024053,0.1098,0.24915,-0.22094,0.045626,9.2611e-06
1.1909,-0.32938,0.29875,-1.4203,0.94077,-0.91527,0.0010539,0.090864,0.25352,-0.21751,0.055181,1.1037e-05
1.1909,-0.32905,0.29978,-1.4212,0.94099,-0.91527,0.002187,0.07593,0.25765,-0.21449,0.065262,8.0899e-06
1.1909,-0.32877,0.30082,-1.422,0.94127,-0.91527,0.0033395,0.070414,0.26006,-0.21203,0.072695,3.1655e-06
1.1909,-0.32849,0.30187,-1.4229,0.94161,-0.91527,0.0045272,0.076389,0.25973,-0.21015,0.075405,-1.0641e-06
1.1909,-0.32816,0.30294,-1.4237,0.94192,-0.91527,0.0055643,0.091926,0.25649,-0.20872,0.072886,-3.1444e-06
1.191,-0.32776,0.30391,-1.4245,0.9422,-0.91527,0.0061517,0.11188,0.25113,-0.20751,0.066078,-3.0358e-06
