1.7919,1.1497,7.0722,-3.8505,0.25948,0.024098
1.6138,2.0242,6.8414,-3.8556,0.22422,-0.026164
1.9271,2.595,6.8833,-3.6633,0.21912,-0.080887
2.4528,3.2943,7.3397,-3.569,0.23711,-0.12267
2.8179,3.2189,7.7541,-3.5758,0.26853,-0.16634
3.1339,2.7054,7.6933,-3.7417,0.31037,-0.20375
3.2214,1.6788,7.9909,-4.0841,0.34892,-0.24889
3.2816,0.59714,7.7538,-4.4637,0.24919,-0.29046
3.1911,0.64161,7.953,-4.6681,0.17258,-0.317
2.9961,0.45672,8.459,-4.7119,0.31406,-0.3334
2.5919,0.97739,8.7295,-4.6178,0.51204,-0.33385
1.9574,1.4876,8.6779,-4.4409,0.60034,-0.33593
1.2947,2.1342,7.9255,-4.6121,0.53004,-0.31932
0.57889,1.6889,7.6406,-4.2851,0.41473,-0.31079
0.26342,1.6137,6.8049,-4.2782,0.23527,-0.28864
0.32588,0.1997,7.1728,-4.1739,0.18553,-0.23068
0.60931,-0.25348,7.5582,-3.9946,0.30082,-0.19293
1.0346,-0.57572,8.1219,-3.7433,0.46487,-0.13102
0.98632,-0.009303,8.3504,-3.7644,0.52131,-0.091283
0.6852,1.3007,8.0656,-3.5527,0.43983,-0.083923
0.54881,2.7035,7.204,-3.6481,0.27178,-0.096256
0.47829,3.249,6.6243,-3.9995,0.20245,-0.12839
0.67606,3.3187,6.3474,-3.9363,0.24398,-0.16005
1.1901,3.455,6.2712,-3.9646,0.30477,-0.17624
1.5506,3.093,6.7479,-4.1325,0.33743,-0.19303
1.8689,2.4127,7.3877,-3.9365,0.31184,-0.21396
1.6565,1.8569,7.6428,-4.0017,0.25239,-0.20386
1.0653,0.654,7.7727,-4.3233,0.25619,-0.20396
0.10521,0.28271,7.3641,-4.2836,0.32387,-0.17179
-0.36503,-0.85919,7.35,-4.5895,0.41307,-0.12417
-0.30367,-0.97683,7.2249,-4.3746,0.38421,-0.070138
-0.18158,-0.95327,7.2195,-4.0306,0.3175,-0.036979
-0.18079,-0.32993,7.2636,-3.9894,0.3309,-0.032002
-0.22239,-0.48505,7.4114,-3.5296,0.3886,-0.066901
-0.70352,-0.1634,7.212,-3.3618,0.40273,-0.11518
-1.1001,-0.10361,6.9167,-3.5673,0.37611,-0.1544
-0.94141,-0.40137,7.0718,-3.5235,0.32308,-0.18459
-0.38395,-0.60866,6.99,-3.1325,0.22235,-0.2338
0.078039,-0.33259,7.3847,-3.2572,0.19136,-0.25474
0.50913,0.52414,7.2114,-3.0482,0.20842,-0.27332
0.56892,1.6499,7.2438,-3.1027,0.25091,-0.26223
0.60597,2.6984,6.5418,-3.4432,0.3032,-0.25193
0.2481,3.3072,6.3679,-3.3737,0.30377,-0.23696
-0.052198,3.6918,5.7636,-3.7761,0.24548,-0.20629
