0,0,0.019534,0.38614
0.016228,0.0089468,0.016725,0.38485
0.019838,0.0081639,0.017373,0.38402
0.026591,0.003334,0.019295,0.38409
0.034485,-0.0029633,0.021679,0.3844
0.048988,-0.0026794,0.023155,0.38471
0.061226,-0.0010681,0.028047,0.38568
0.067333,0.0014546,0.030107,0.38598
0.082018,0.010986,0.03429,0.38674
0.088602,0.0050139,0.038974,0.38731
0.10247,0.0076888,0.045905,0.38716
0.10852,0.0062996,0.049771,0.38683
0.11371,0.0053075,0.053128,0.38639
0.12839,0.0031222,0.061993,0.38631
0.13343,0.0051952,0.064374,0.38552
0.14947,0.013575,0.068997,0.38529
0.1541,0.015648,0.071418,0.38453
0.16955,0.016783,0.078914,0.38453
0.17441,0.02075,0.08028,0.38419
0.17982,0.021398,0.083193,0.38443
0.18544,0.020822,0.086677,0.38473
0.20174,0.021811,0.094341,0.38501
0.21721,0.027252,0.10094,0.38524
0.22308,0.027552,0.10368,0.38604
0.23572,0.023824,0.11396,0.38612
0.24124,0.025199,0.11604,0.38678
0.24617,0.02537,0.11899,0.38693
0.25056,0.024476,0.12271,0.38693
0.26535,0.034236,0.12663,0.38707
0.26918,0.036691,0.12861,0.38707
0.28617,0.037839,0.1373,0.38652
0.30297,0.035466,0.14743,0.38532
0.30687,0.041958,0.14773,0.38471
0.31903,0.048781,0.15295,0.38349
0.32427,0.046923,0.15748,0.38326
0.32963,0.048072,0.16055,0.38259
0.33503,0.050304,0.16311,0.38266
0.35179,0.052866,0.17119,0.38395
0.36452,0.053929,0.18011,0.38542
0.37093,0.05692,0.18223,0.38622
0.38326,0.065046,0.18804,0.38648
0.38952,0.064919,0.19202,0.38719
0.39517,0.065478,0.19536,0.38711
0.40054,0.066354,0.1984,0.387
0.41433,0.068074,0.20651,0.38685
0.42962,0.070141,0.21345,0.38642
0.43484,0.07251,0.21261,0.38604
0.44812,0.075502,0.21197,0.38513
0.4539,0.07689,0.2125,0.38319
0.46585,0.075727,0.21588,0.38311
0.47095,0.07834,0.2149,0.38295
0.47753,0.079935,0.21466,0.38343
0.48468,0.081136,0.21472,0.38354
0.49789,0.081217,0.21556,0.38416
0.51406,0.087472,0.21411,0.38431
0.51851,0.088209,0.21422,0.38474
0.53419,0.093016,0.21355,0.38459
0.53921,0.097312,0.21219,0.3848
0.54516,0.097309,0.21272,0.3848
0.55153,0.095344,0.21412,0.38507
0.56613,0.099546,0.21473,0.38546
0.58018,0.097703,0.21722,0.38538
0.58405,0.096389,0.21868,0.38635
0.59854,0.10782,0.2141,0.38658
0.60517,0.10578,0.21563,0.38675
0.6117,0.10609,0.21559,0.38637
0.61817,0.10765,0.21473,0.38629
0.62977,0.10915,0.21703,0.38511
0.64314,0.10983,0.21811,0.38482
0.64954,0.11381,0.21695,0.38372
0.66325,0.12037,0.21487,0.38323
0.66915,0.11948,0.21581,0.38338
0.68246,0.12662,0.21414,0.38374
0.68634,0.12569,0.21435,0.38404
0.69327,0.12637,0.21489,0.38514
0.70157,0.12776,0.21559,0.38545
0.71293,0.12624,0.21822,0.38607
0.72944,0.13138,0.21687,0.38583
0.73353,0.13066,0.21782,0.3856
0.74856,0.13547,0.21692,0.38413
0.75313,0.13611,0.21712,0.38306
0.76418,0.1381,0.21818,0.38298
0.77037,0.1399,0.21805,0.38229
0.77599,0.14058,0.218,0.38237
0.78139,0.14082,0.21799,0.3825
0.79732,0.14435,0.21481,0.38288
0.81278,0.1497,0.20482,0.38346
0.81876,0.14977,0.20199,0.38416
0.83233,0.14698,0.19532,0.38446
0.84042,0.14835,0.19196,0.38512
0.84588,0.14784,0.18934,0.38527
0.85014,0.14647,0.18708,0.38573
0.86461,0.14802,0.178,0.38596
0.87979,0.15258,0.16754,0.3863
0.88438,0.14975,0.16654,0.3864
0.89828,0.15128,0.15712,0.3864
0.90213,0.15123,0.15507,0.38627
0.90728,0.15108,0.15209,0.38604
0.91378,0.15081,0.14816,0.38579
0.92883,0.15524,0.13696,0.38472
0.93454,0.15734,0.13173,0.38442
0.94747,0.15567,0.12625,0.38311
0.96429,0.15568,0.11521,0.38266
0.96914,0.15806,0.11142,0.38176
0.98233,0.15727,0.10399,0.3816
0.98786,0.15928,0.099011,0.38256
0.99443,0.15849,0.096012,0.38403
1.0015,0.15646,0.093889,0.38511
1.0141,0.15431,0.085929,0.38527
1.0287,0.15177,0.078526,0.38589
1.0338,0.1515,0.07578,0.38603
1.0473,0.15349,0.065176,0.38606
1.0519,0.15481,0.061409,0.38575
1.0665,0.15057,0.056064,0.38428
1.0724,0.1524,0.051385,0.38322
1.0773,0.15297,0.04708,0.38086
1.0819,0.15308,0.042912,0.38003
1.0971,0.15125,0.035275,0.37908
1.1136,0.15406,0.023349,0.3806
1.1174,0.15094,0.021432,0.38265
1.1315,0.14577,0.014942,0.38336
